,Date,User,Tweet,Keyword
0,2022-07-10 15:45:00+00:00,kathmandupost,"OPINION: Multisectoral multiscale disasters

Investment in science is crucial for improving the prediction of cascading hazards and risks.

https://t.co/3Iva8DLcCp — by Sanjib Sharma &amp; Rocky Talchabhadel",hazard
1,2017-12-22 04:45:00+00:00,kathmandupost,"Half of petrol pumps do not meet safety norms

Lack of clear policy has resulted in poor inspection of these refilling stations which pose a public safety hazard 

#KathmanduPost

https://t.co/n6SKe9O0pB",hazard
2,2014-07-15 03:32:07+00:00,kathmandupost,"Women’s health does not comprise maternity; respiratory infections are also an occupational hazard, by Anita Karki http://t.co/SdZDqpGK3b",hazard
3,2022-07-02 13:45:00+00:00,kathmandupost,"Valley’s power lines to go underground

Underground cables would cause smaller voltage drops and will reduce safety hazards caused by storms and lightning.

https://t.co/SKz32n0Thx — by @PrasainKrishana",hazard
4,2017-08-27 05:45:00+00:00,kathmandupost,"Op-Ed
Farmers and consumers should be educated about pesticides to avoid health hazards - Dharmendra Kalauni

https://t.co/kTZjK2Bmgy",hazard
5,2018-01-02 08:45:00+00:00,kathmandupost,"Imports of clinker from Raxaul, an Indian town located on Nepal-India border, have stopped since December 22 after locals complained about air pollution and health hazards

https://t.co/VK1cEEnioS",hazard
6,2014-03-16 16:30:58+00:00,kathmandupost,"OPINION: In harsh conditions of the Gulf and Malaysia, discriminatory mindsets are sidelined by occupational hazards http://t.co/dJjG4KXXxq",hazard
7,2022-10-12 21:15:00+00:00,kathmandupost,"OPINION: Nepal’s progress in early warning systems

In parallel with the progress, natural hazards are becoming more devastating and unpredictable.

https://t.co/DpQQ2BOFPg — by Mandira Singh Shrestha",hazard
8,2018-01-02 04:45:00+00:00,kathmandupost,"Under the Act, employers must be responsible for keeping workers safe from health hazards that might come from the use, storage and operation of any chemical, physical materials and equipment at workplace

https://t.co/6OStE2yGOL",hazard
9,2015-05-12 03:20:04+00:00,kathmandupost,"Nepal Telecom, Red Cross to send early flood and hazard warnings SMS
http://t.co/O0TOtL0RmM http://t.co/WuJr58ChSn",hazard
10,2014-07-05 15:58:55+00:00,kathmandupost,"#BEL starting-XI Courtois, Alderweireld, Van Buyten, Kompany, Vertonghen, Fellaini, Witsel, Mirallas, De Bruyne, Hazard, Origi",hazard
11,2017-10-08 21:15:01+00:00,kathmandupost,"Op-Ed
Noise pollution is a major health hazard; Nepal must learn to curb it through regulation - Khagendra N Sharma

https://t.co/h2T9xXWzyn",hazard
12,2022-09-11 20:15:00+00:00,kathmandupost,"OPINION: CoP27 and focus on mitigation

Mitigation of climate change prevents, or at least reduces, the chances of occurrence of climate hazards.

https://t.co/M2F0xKlxxi — by @AacharyaAaditya",hazard
13,2022-03-21 00:45:00+00:00,kathmandupost,"Technical tests at Pokhara's new airport slated to begin in April

Ritthepani hill on the eastern side of the airport poses an approach hazard, and needs to be flattened, officials said.

https://t.co/sa3at2EPeE — by @sangamprasai",hazard
14,2023-01-11 13:03:12+00:00,kathmandupost,"Flights grounded across United States after FAA system outage

The Federal Aviation 
Administration said it was working to restore a system that alerts pilots to hazards and changes to airport facilities and procedures.

https://t.co/noTaXr7GtX",hazard
15,2014-08-11 03:29:09+00:00,kathmandupost,No problems with big projects if you factor possible hazards [Interview with Madhukar Upadhya] http://t.co/9FZiMvwxLE http://t.co/6FfsNg3qyc,hazard
16,2021-07-09 11:15:00+00:00,kathmandupost,"EDITORIAL: Other hazards loom

The neglect of non-communicable diseases has disrupted regular health services.

https://t.co/g2mPPVBK7r",hazard
17,2014-03-16 05:30:57+00:00,kathmandupost,"(Opinion) In the harsh conditions of the Gulf, discriminatory mindsets are sidelined by occupational hazards http://t.co/ycBdmvimbN",hazard
18,2023-03-14 02:45:00+00:00,kathmandupost,"OPINION: Nepal’s cascading hazards

Scientific research can provide new insights into designing effective risk management strategies.

https://t.co/fBmKb6lwNQ — by Rocky Talchabhadel &amp; Sanjib Sharma",hazard
19,2017-04-06 05:05:00+00:00,kathmandupost,"Hazard double gives Chelsea vital win over Man City

https://t.co/YlRZvxXUAZ https://t.co/D5EyhCw6Zl",hazard
20,2014-08-11 22:54:14+00:00,kathmandupost,No problems with big projects if you factor possible hazards [Interview with Madhukar Upadhya] http://t.co/9FZiMvwxLE,hazard
21,2020-07-24 04:00:00+00:00,kathmandupost,"Drive safe

Authorities should educate the public on the hazards of drunk driving

Read today's editorial https://t.co/hfmfEQnGaX",hazard
22,2018-01-17 06:30:00+00:00,kathmandupost,"GMP is one of the components of Hazard Analysis Critical Control Points that ensures risk-free production of perishable food items

https://t.co/eDHxSaXKu2",hazard
23,2017-08-27 17:10:01+00:00,kathmandupost,"Farmers and consumers should be educated about pesticides to avoid health hazards, by @kalaunidharmen
#KathmanduPost
https://t.co/kTZjK2SXF8 https://t.co/Iso5qnaMyW",hazard
24,2020-12-08 06:15:00+00:00,kathmandupost,"With their thatched roofs, houses in remote settlements of Karnali at risk of fire hazard

https://t.co/qJ7uAuDbFK — by Tularam Pandey &amp; Raj Bahadur Shahi",hazard
25,2021-07-09 01:40:00+00:00,kathmandupost,"EDITORIAL: Other hazards loom

The neglect of non-communicable diseases has disrupted regular health services.

https://t.co/9ZjG2PmR1G",hazard
26,2017-04-23 05:45:00+00:00,kathmandupost,"Willian, selected ahead of Hazard in the starting line-up, twice put Chelsea ahead in a sizzling contest

https://t.co/nBl1MEIr47",hazard
27,2022-12-29 04:45:00+00:00,kathmandupost,"Electric, kerosene and charcoal heaters major winter fire hazards

Police request the public to be extra cautious while heating their rooms this season. https://t.co/pD0Vhfa2i9 — by @AnupOjha7",hazard
28,2018-01-18 04:15:00+00:00,kathmandupost,"Indiscriminate exploitation of river-based resources not only hits government revenue but also poses environmental hazards

#KathmanduPost

https://t.co/nCBMU6Td9e",hazard
29,2021-02-09 01:47:57+00:00,kathmandupost,"What caused the deadly avalanche in the Indian Himalayas?

A government report said while the disaster occurred as a result of natural hazards, human activity had contributed significantly.

https://t.co/v42Qi1bQrF",hazard
30,2019-06-04 02:29:00+00:00,kathmandupost,"The government cannot, in good conscience, continue to fund an industry that manufactures a major health hazard--while also operating at a major loss. It is high time that the government considered shuttering some sick public enterprises.
https://t.co/6aoxOAYdLm #editorial",hazard
31,2018-01-16 02:35:00+00:00,kathmandupost,"#EDITORIAL Circle of death: Cold waves are systemic annual occurrences, and the govt hasn’t done enough to alleviate the hazard

https://t.co/jsuTGmen9V",hazard
32,2020-01-24 19:20:00+00:00,kathmandupost,"Faced with discriminatory hiring practices, most transgender individuals are unable to get jobs and resort to sex work, which comes with its own hazards

https://t.co/zlryy8DMtG — by @elishashr",hazard
33,2022-12-29 20:45:30+00:00,kathmandupost,"Electric, kerosene and charcoal heaters major winter fire hazards

Police request the public to be extra cautious while heating their rooms this season. 

https://t.co/mC6yUtuD1l — by @AnupOjha7",hazard
34,2019-12-02 09:15:00+00:00,kathmandupost,"OPINION: Although plastic owes its invention and early adoption in the developed world, the hazards of plastic pollution cannot be viewed as a problem of the richer world alone.
https://t.co/sFPUCD6ffg — by Siddhartha Mainali",hazard
35,2017-08-18 01:57:53+00:00,kathmandupost,"Surviving the flood: Hazards of floodwaters could carry into future crop cycles in absence of proper initiatives 

https://t.co/0V9eoPV4et",hazard
36,2022-03-20 03:45:00+00:00,kathmandupost,"Technical tests at Pokhara's new airport slated to begin in April

Ritthepani hill on the eastern side of the airport poses an approach hazard, and needs to be flattened, officials said.

https://t.co/f17fQS2BTl — by @sangamprasai",hazard
37,2020-01-24 02:15:00+00:00,kathmandupost,"Faced with discriminatory hiring practices, most transgender individuals are unable to get jobs and resort to sex work, which comes with its own hazards. https://t.co/zlryy8DMtG — by @elishashr",hazard
38,2019-02-12 03:59:00+00:00,kathmandupost,"The disappearance of Himalayan glaciers signals potentially disastrous consequences, that will be negatively reflected on river flows, pollution and management of natural hazards. #Opinion by  @sherpatsewang10
https://t.co/pfJYjBNrPw",hazard
39,2018-11-02 08:25:00+00:00,kathmandupost,"In a bid to raise awareness among people regarding fire-related hazard during Tihar festival, the Kathmandu Metropolitan City and the Juddha Barun Yantra have started a weeklong awareness programme in Kathmandu

https://t.co/zzZYUQ7skW",hazard
40,2020-07-24 11:45:00+00:00,kathmandupost,"EDITORIAL: Authorities should educate the public on the hazards of drunk driving. 

https://t.co/hfmfEQnGaX",hazard
41,2017-04-26 05:57:33+00:00,kathmandupost,"Eden Hazard, captain Gary Cahill and two from a buzzing Diego Costa ensured Chelsea stayed on course for the double

https://t.co/3fxjFywDrz",hazard
42,2022-09-11 03:30:00+00:00,kathmandupost,"OPINION: CoP27 and focus on mitigation

Mitigation of climate change prevents, or at least reduces, the chances of occurrence of climate hazards.

https://t.co/wo6SmpRldW — by @AacharyaAaditya",hazard
43,2019-06-12 03:12:00+00:00,kathmandupost,"A pilgrimage dotted with natural hazards, altitudinal variations and pristine scenery

https://t.co/hpuBTDroza #Opinion by Mahendra P Lama",hazard
44,2022-07-10 03:05:00+00:00,kathmandupost,"OPINION: Multisectoral multiscale disasters

Investment in science is crucial for improving the prediction of cascading hazards and risks.

https://t.co/zBDIu8BoLA — by Sanjib Sharma &amp; Rocky Talchabhadel",hazard
45,2019-03-09 02:22:00+00:00,kathmandupost,"Labs across the country are ill-equipped to conduct pesticide tests.
Authorities concerned seem to be turning a blind eye to the health hazards posed by pesticide use in fruits and vegetables.

https://t.co/qNDh9BJDpm",hazard
46,2022-07-02 01:50:00+00:00,kathmandupost,"Valley’s power lines to go underground

Underground cables would cause smaller voltage drops and will reduce safety hazards caused by storms and lightning.

https://t.co/VNIq4qN58D — by @PrasainKrishana",hazard
47,2023-03-14 15:45:00+00:00,kathmandupost,"OPINION: Nepal’s cascading hazards

Scientific research can provide new insights into designing effective risk management strategies.

https://t.co/fBmKb6lwNQ — by Rocky Talchabhadel &amp; Sanjib Sharma",hazard
48,2020-12-25 01:47:50+00:00,kathmandupost,"EDITORIAL: It's cold outside

It is time we asked ourselves whether we are prepared enough to deal with this annual hazard.

https://t.co/QQzmlsCd6P",hazard
49,2022-10-12 03:45:00+00:00,kathmandupost,"OPINION: Nepal’s progress in early warning systems

In parallel with the progress, natural hazards are becoming more devastating and unpredictable.
https://t.co/shdD7aQYmN — by Mandira Singh Shrestha",hazard
